"","IDs","IDs_index"
"1","GSM2349443_8942351141_R03C02",1
"2","GSM2349452_8942351172_R06C01",2
"3","GSM2349461_8942351227_R03C01",3
"4","GSM2349470_8942351227_R06C02",4
"5","GSM2349487_8942351185_R06C01",5
"6","GSM2349496_8942351223_R03C01",6
"7","GSM2349505_8942351223_R06C02",7
"8","GSM2349512_9376537090_R01C02",8
"9","GSM2349513_9376537090_R02C02",9
"10","GSM2349514_9376537090_R03C02",10
"11","GSM2349515_9376537090_R04C02",11
"12","GSM2349516_9376537090_R05C02",12
"13","GSM2349517_9376537090_R06C02",13
